cve_concatenada,sequia,racha,full_date_start_racha,full_date_end_racha,racha_meses
5024,D2,11,2022-04-30,2022-09-30,5.0267972648309
5024,D3,7,2011-11-30,2012-05-31,6.012443787346763
5024,D4,1,2011-10-31,2011-10-31,0.0
5024,Sin sequia,48,2013-09-30,2015-11-15,25.495390049076985
5025,D0,9,2017-05-15,2017-09-15,4.041150742315037
5025,D1,4,2012-09-30,2012-12-31,3.0226493357153124
5025,D2,15,2022-09-15,2023-04-30,7.4580586870366945
5025,D3,9,2022-02-28,2022-06-30,4.008295858231175
5025,D4,2,2006-07-31,2006-08-31,1.0185014065997249
5025,Sin sequia,19,2003-07-31,2005-03-31,20.008624407072013
5026,D0,10,2019-09-30,2020-02-15,4.533974003572968
5026,D1,9,2012-05-31,2013-01-31,8.049446600546213
5026,D2,5,2023-02-28,2023-05-15,2.496971190373519
5026,D3,3,2011-03-31,2011-05-31,2.0041479291155877
5026,D4,2,2011-10-31,2011-11-30,0.9856465225158627
5026,Sin sequia,25,2003-06-30,2005-08-31,26.05392307850264
5027,D0,6,2005-12-31,2006-05-31,4.9610874966631755
5027,D1,5,2008-02-29,2008-06-30,4.008295858231175
5027,D2,9,2022-04-30,2022-08-31,4.041150742315037
5027,D3,6,2011-09-30,2012-02-29,4.993942380747038
5027,Sin sequia,30,2003-01-31,2005-08-31,30.982155691081953
5028,D0,4,2013-06-30,2013-09-30,3.0226493357153124
5028,D1,9,2012-09-30,2013-05-31,7.983736832378488
5028,D2,7,2020-02-15,2020-05-15,2.9569395675475882
5028,D3,10,2022-03-15,2022-07-31,4.533974003572968
5028,D4,4,2011-09-30,2011-12-31,3.0226493357153124
5028,Sin sequia,24,2003-07-31,2005-08-31,25.035421671902913
5029,D0,9,2008-10-31,2009-06-30,7.950881948294626
5029,D1,13,2020-12-15,2021-06-15,5.979588903262901
5029,D2,8,2022-04-30,2022-08-15,3.5154725969732437
5029,D3,5,2011-12-31,2012-04-30,3.975440974147313
5029,D4,2,2011-10-31,2011-11-30,0.9856465225158627
5029,Sin sequia,52,2013-06-30,2015-11-30,29.010862646050228
5030,D0,5,2012-03-31,2012-07-31,4.008295858231175
5030,D1,4,2008-03-31,2008-06-30,2.9897944516314503
5030,D2,8,2023-02-28,2023-06-30,4.008295858231175
5030,D3,4,2011-09-30,2011-12-31,3.0226493357153124
5030,Sin sequia,55,2013-05-31,2015-12-31,31.015010575165814
5031,D0,6,2012-08-31,2013-01-31,5.0267972648309
5031,D1,10,2021-02-15,2021-06-30,4.435409351321383
5031,D2,5,2020-11-30,2021-01-31,2.0370028131994498
5031,D3,8,2022-03-31,2022-07-15,3.4826177128893816
5031,D4,4,2011-10-31,2012-01-31,3.0226493357153124
5031,Sin sequia,86,2013-06-30,2017-04-30,45.996837717406926
5032,D0,4,2012-05-31,2012-08-31,3.0226493357153124
5032,D1,9,2009-04-30,2009-12-31,8.049446600546213
5032,D2,4,2018-06-30,2018-08-15,1.5113246678576562
5032,D3,10,2022-03-31,2022-08-15,4.501119119489107
5032,D4,4,2011-09-30,2011-12-31,3.0226493357153124
5032,Sin sequia,24,2003-07-31,2005-08-31,25.035421671902913
5033,D0,11,2008-09-30,2009-07-31,9.987884761494076
5033,D1,4,2008-02-29,2008-05-31,3.0226493357153124
5033,D2,6,2003-01-31,2003-06-30,4.928232612579314
5033,D3,6,2012-01-31,2012-06-30,4.9610874966631755
5033,D4,3,2011-10-31,2011-12-31,2.0041479291155877
5033,Sin sequia,48,2013-09-30,2015-11-15,25.495390049076985
5034,D0,9,2007-09-30,2008-05-31,8.01659171646235
5034,D1,5,2006-01-31,2006-05-31,3.942586090063451
5034,D2,27,2020-12-31,2022-01-31,13.010534097209389
